Sección,Nombre del Campo,Nombre Técnico del Campo,Tipo de Campo,Optionset Values,Campo en res.partner
1.2 Lugar de Trabajo / Ingresos,Tiempo en la Empresa (Meses),x_kyc_tiempo_empresa_meses,Integer,,
1.2 Lugar de Trabajo / Ingresos,Tiempo en la Empresa (Años),x_kyc_tiempo_empresa_anios,Integer,,
1.2 Lugar de Trabajo / Ingresos,Teléfono Empresa,x_kyc_empresa_tel,Char,,
1.2 Lugar de Trabajo / Ingresos,Región Empresa,x_kyc_empresa_region,Selection,Norte | Este | Oeste | DN,
1.2 Lugar de Trabajo / Ingresos,Dirección Empresa,x_kyc_empresa_direccion,Char,,
2.1 Referencias Bancarias,,,,,
2.1 Referencias Bancarias,Número de Cuenta (Ref. Bancaria 1),x_kyc_banco1_cuenta,Char,,
2.1 Referencias Bancarias,Tipo de Cuenta (Ref. Bancaria 1),x_kyc_banco1_tipo,Selection,Corriente | Ahorros | Otro,
2.1 Referencias Bancarias,Moneda (Ref. Bancaria 1),x_kyc_banco1_moneda,Selection,DOP | USD | EUR | Otra,
2.1 Referencias Bancarias,Entidad Financiera (Ref. Bancaria 1),x_kyc_banco1_entidad,Char,,bank_ids
2.1 Referencias Bancarias,País de Origen (Ref. Bancaria 1),x_kyc_banco1_pais,Many2one (res.country),,
2.2 Referencias Comerciales y Personales,,,,,
2.2 Referencias Comerciales y Personales,Nombre / Empresa (Ref. 1),x_kyc_ref1_nombre,Char,,
2.2 Referencias Comerciales y Personales,Número de Contacto (Ref. 1),x_kyc_ref1_contacto,Char,,
2.2 Referencias Comerciales y Personales,Tipo de Relación (Ref. 1),x_kyc_ref1_relacion,Char,,
2.2 Referencias Comerciales y Personales,Nombre / Empresa (Ref. 2),x_kyc_ref2_nombre,Char,,
2.2 Referencias Comerciales y Personales,Número de Contacto (Ref. 2),x_kyc_ref2_contacto,Char,,
2.2 Referencias Comerciales y Personales,Tipo de Relación (Ref. 2),x_kyc_ref2_relacion,Char,,
2.3 Clientes Principales (Independientes),,,,,
2.3 Clientes Principales (Independientes),Nombre / Empresa (Cliente 1),x_kyc_cli1_nombre,Char,,
2.3 Clientes Principales (Independientes),Número de Contacto (Cliente 1),x_kyc_cli1_contacto,Char,,
2.4 Proveedores Principales (Independientes),,,,,
2.4 Proveedores Principales (Independientes),Nombre / Empresa (Proveedor 1),x_kyc_prov1_nombre,Char,,
2.4 Proveedores Principales (Independientes),Número de Contacto (Proveedor 1),x_kyc_prov1_contacto,Char,,
3. Personas Políticamente Expuestas,,,,,
3. Personas Políticamente Expuestas,¿Es o ha sido PEP o figura pública?,x_kyc_es_pep,Boolean,,
3. Personas Políticamente Expuestas,"Cargo, Rango o Posición PEP",x_kyc_pep_cargo,Char,,
3. Personas Políticamente Expuestas,Fecha desde que ocupa el cargo PEP,x_kyc_pep_fecha_desde,Date,,
3. Personas Políticamente Expuestas,Institución PEP,x_kyc_pep_institucion,Char,,
3. Personas Políticamente Expuestas,País PEP,x_kyc_pep_pais,Many2one (res.country),,
3. Personas Políticamente Expuestas,¿Tiene vínculo con PEP o figura pública?,x_kyc_vinculo_pep,Boolean,,
3. Personas Políticamente Expuestas,Nombre de la PEP vinculada,x_kyc_vinculo_pep_nombre,Char,,
3. Personas Políticamente Expuestas,Tipo de Vinculación con PEP,x_kyc_vinculo_pep_tipo,Selection,Cónyuge | Hijo/a | Hermano/a | Padre/Madre | Socio/a | Otro,
3. Personas Políticamente Expuestas,Cargo de la PEP vinculada,x_kyc_vinculo_pep_cargo,Char,,
3. Personas Políticamente Expuestas,Fecha desde que ocupa cargo (PEP vinculada),x_kyc_vinculo_pep_fecha,Date,,
3. Personas Políticamente Expuestas,Institución de la PEP vinculada,x_kyc_vinculo_pep_inst,Char,,
3. Personas Políticamente Expuestas,País de la PEP vinculada,x_kyc_vinculo_pep_pais,Many2one (res.country),,
4.1 Producto e Inversión,,,,,
4.1 Producto e Inversión,Tipo de Adquisición,x_kyc_tipo_adquisicion,Selection,Inmueble de bajo costo | Inmueble de alto costo | Otro,
4.1 Producto e Inversión,Nombre del Fideicomiso,x_kyc_fideicomiso_nombre,Char,,
4.1 Producto e Inversión,Monto Global del Bien Adquirido,x_kyc_monto_bien,Monetary,,
4.2 Transacciones Estimadas,,,,,
4.2 Transacciones Estimadas,Volumen estimado de depósitos/pagos al mes,x_kyc_vol_depositos,Selection,1-3 | 3 o más,
4.2 Transacciones Estimadas,Canal Transaccional,x_kyc_canal_transaccional,Selection,Transferencias Locales/Internacionales | Depósitos en efectivo o cheques,
4.3 Volumen Mensual,,,,,
4.3 Volumen Mensual,Rango monto mensual esperado (DOP),x_kyc_rango_monto_mensual,Selection,"1-10,000 | 10,001-100,000 | 100,001-250,000 | 250,001-500,000 | 500,001-1,000,000 | 1,000,001 o más",
4.3 Volumen Mensual,Tipo principal de transacciones,x_kyc_tipo_transaccion,Selection,Efectivo | Cheque | Transferencia,
4.3 Volumen Mensual,¿Realiza transferencias internacionales?,x_kyc_transferencias_int,Boolean,,
4.3 Volumen Mensual,País de origen de transferencias internacionales,x_kyc_pais_transferencia,Many2one (res.country),,
4.3 Volumen Mensual,Volumen mensual (USD),x_kyc_volumen_mensual_usd,Monetary,,
4.3 Volumen Mensual,Cantidad de transferencias iniciales,x_kyc_transferencias_iniciales,Integer,,
5. Inicial,,,,,
5. Inicial,Monto de pago inicial (en letras),x_kyc_inicial_letras,Char,,
5. Inicial,Monto de pago inicial (en números RD$),x_kyc_inicial_monto,Monetary,,
6. Propósito de la Adquisición,,,,,
6. Propósito de la Adquisición,Propósito de la adquisición o inversión,x_kyc_proposito,Text,,comment
7. Origen de los Fondos,,,,,
7. Origen de los Fondos,Descripción del origen de los fondos,x_kyc_origen_fondos,Text,,
8. Información del Proyecto,,,,,
8. Información del Proyecto,Nombre del Proyecto,x_kyc_proyecto_nombre,Char,,
8. Información del Proyecto,Forma de Pago,x_kyc_forma_pago,Char,,
8. Información del Proyecto,Unidad,x_kyc_proyecto_unidad,Char,,
